R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,2.4,Nikola Jokic,C,DEN,74,35.7,0.579 (10.9/18.9),0.808 (4.9/6.0),2.1,28.8,12.7,10.3,1.6,0.8,3.2,17.47
2,4.5,Shai Gilgeous-Alexander,PG,OKC,74,34.1,0.527 (11.1/21.0),0.886 (7.8/8.8),2.1,32.1,5.3,6.3,1.7,1,2.3,15.9
3,3.4,Victor Wembanyama,C,SA,65,32.4,0.540 (9.9/18.4),0.802 (5.2/6.5),1,26.1,11,3.7,1.1,3.7,3.7,15.36
4,5.1,Luka Doncic,"PG,SG",LAL,70,35.8,0.473 (10.4/22.0),0.793 (6.6/8.3),3.8,31.2,9.1,8.8,1.4,0.5,3.8,11.39
5,6.2,Giannis Antetokounmpo,"PF,C",MIL,70,34.7,0.607 (12.0/19.8),0.633 (6.8/10.8),0.7,31.5,11.8,6.8,0.9,1.1,3.4,11.26
6,9.8,Anthony Davis,"PF,C",DAL,63,34.5,0.510 (9.4/18.3),0.787 (5.6/7.1),0.8,25.1,11.8,3.5,1.2,2.1,2.2,10.1
7,18,Tyrese Maxey,PG,PHI,65,37.6,0.444 (9.8/22.0),0.870 (5.2/6.0),3.3,28.1,3.8,6.6,1.5,0.5,2.3,8.38
8,7.9,Anthony Edwards,"PG,SG",MIN,69,36.1,0.449 (9.3/20.6),0.837 (5.6/6.7),4.1,28.3,5.9,5.1,1.3,0.6,3.3,8.36
9,15.5,James Harden,"PG,SG",LAC,75,34.8,0.425 (6.2/14.6),0.874 (5.4/6.2),2.8,20.6,5.5,8.5,1.3,0.8,3.6,8.11
10,11.7,Devin Booker,"PG,SG",PHO,72,36.6,0.476 (9.1/19.2),0.890 (5.9/6.6),2.4,26.5,4.3,7.6,0.9,0.3,2.8,7.96
11,17.6,Kevin Durant,"SF,PF",HOU,65,34,0.524 (9.1/17.4),0.848 (4.5/5.3),2.2,25,5.9,4.7,0.8,1,3.1,7.84
12,15,Stephen Curry,PG,GS,68,32,0.449 (8.1/18.1),0.928 (4.0/4.3),4.4,24.7,4.4,5.7,0.9,0.4,2.8,7.78
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
